2026-01-13 20:56:45,414 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=90:15:06:52:77:88 | MONITORID=35
2026-01-13 20:59:17,187 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=90:15:06:52:77:88 | MONITORID=35
2026-01-13 20:59:42,259 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=90:15:06:52:77:88 | MONITORID=35
2026-01-13 21:09:24,212 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=90:15:06:52:77:88 | MONITORID=35
2026-01-13 21:15:33,498 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=90:15:06:52:77:88 | MONITORID=35
2026-01-13 21:18:03,216 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=90:15:06:52:77:88 | MONITORID=35
2026-01-13 21:37:02,528 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=90:15:06:52:77:88 | MONITORID=35
2026-01-13 22:52:47,954 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=AA:BB:CC:XX:YY:13 | MONITORID=263
2026-01-13 23:05:17,594 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=AA:BB:CC:XX:YY:13 | MONITORID=263
2026-01-13 23:07:32,329 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=AA:BB:CC:XX:YY:13 | MONITORID=263
2026-01-13 23:09:20,315 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=AA:BB:CC:XX:YY:13 | MONITORID=263
2026-01-13 23:11:43,611 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=AA:BB:CC:XX:YY:13 | MONITORID=263
2026-01-13 23:13:50,495 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=AA:BB:CC:XX:YY:13 | MONITORID=263
2026-01-13 23:18:35,264 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=AA:BB:CC:XX:YY:13 | MONITORID=263
2026-01-13 23:49:37,164 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=AA:BB:CC:XX:YY:13 | MONITORID=263
2026-01-16 11:38:12,350 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=AA:BB:CC:XX:YY:13 | MONITORID=23
2026-01-16 11:43:44,165 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=AA:BB:CC:XX:YY:13 | MONITORID=23
2026-01-19 12:25:20,570 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=AA:BB:CC:XX:YY:13 | MONITORID=23
2026-01-19 12:38:52,736 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=AA:BB:CC:XX:YY:13 | MONITORID=23
2026-01-19 12:39:08,010 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=AA:BB:CC:XX:YY:13 | MONITORID=23
2026-01-19 12:39:33,641 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=AA:BB:CC:XX:YY:13 | MONITORID=23
2026-01-19 12:43:59,036 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=AA:BB:CC:XX:YY:13 | MONITORID=23
2026-01-19 12:58:39,169 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=AA:BB:CC:XX:YY:13 | MONITORID=23
2026-01-19 13:05:15,320 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=AA:BB:CC:XX:YY:13 | MONITORID=23
2026-01-19 13:05:46,611 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=AA:BB:CC:XX:YY:13 | MONITORID=23
2026-01-19 13:14:24,703 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=AA:BB:CC:XX:YY:13 | MONITORID=23
2026-01-19 13:21:36,052 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=AA:BB:CC:XX:YY:13 | MONITORID=23
2026-01-19 13:34:46,719 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=AA:BB:CC:XX:YY:13 | MONITORID=23
2026-01-19 14:07:30,666 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=AA:BB:CC:XX:YY:13 | MONITORID=23
2026-01-21 20:05:54,441 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=90:15:06:52:76:CC | MONITORID=36
2026-01-21 20:06:33,127 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=90:15:06:52:79:4C | MONITORID=38
2026-01-21 20:31:22,469 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=90:15:06:52:79:4C | MONITORID=38
2026-01-21 20:38:05,864 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=90:15:06:52:79:4C | MONITORID=38
2026-01-21 20:38:48,724 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=90:15:06:52:78:28 | MONITORID=40
2026-01-28 18:07:10,986 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=90:15:06:52:83:E4 | MONITORID=30
2026-01-28 18:13:44,668 | INFO | app.api.device_api_client | Resolved device → monitor | DEVICEID=90:15:06:52:79:4C | MONITORID=38
